nohup: ignoring input
Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
May 26, 2021 - 15:37:18
Django version 3.1.3, using settings 'learning_log.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.
nohup: ignoring input
Watching for file changes with StatReloader
[26/May/2021 15:37:40] "GET / HTTP/1.1" 200 409
[26/May/2021 15:37:42] "GET / HTTP/1.1" 200 409
[26/May/2021 15:37:44] "GET /topics/ HTTP/1.1" 200 614
[26/May/2021 15:37:46] "GET / HTTP/1.1" 200 409
[26/May/2021 15:38:09] "GET /topics/ HTTP/1.1" 200 614
[27/May/2021 02:36:38] "GET /topics/1/ HTTP/1.1" 200 457
[27/May/2021 02:36:40] "GET /topics/2/ HTTP/1.1" 200 590
[27/May/2021 02:58:03] "GET /topics/ HTTP/1.1" 200 614
[27/May/2021 02:58:04] "GET / HTTP/1.1" 200 409
[27/May/2021 06:19:56] "GET / HTTP/1.1" 200 443
[27/May/2021 06:21:23] "GET / HTTP/1.1" 200 443
[27/May/2021 06:21:25] "GET / HTTP/1.1" 200 496
[27/May/2021 06:21:53] "GET / HTTP/1.1" 200 496
[27/May/2021 06:21:54] "GET / HTTP/1.1" 200 535
[27/May/2021 06:22:15] "GET / HTTP/1.1" 200 551
[27/May/2021 06:22:15] "GET / HTTP/1.1" 200 551
[27/May/2021 06:22:16] "GET / HTTP/1.1" 200 551
[27/May/2021 06:22:16] "GET / HTTP/1.1" 200 551
[27/May/2021 06:22:16] "GET / HTTP/1.1" 200 551
[27/May/2021 06:22:16] "GET / HTTP/1.1" 200 551
[27/May/2021 06:22:16] "GET / HTTP/1.1" 200 551
[27/May/2021 06:22:21] "GET / HTTP/1.1" 200 551
[27/May/2021 06:22:22] "GET / HTTP/1.1" 200 552
[27/May/2021 06:22:22] "GET / HTTP/1.1" 200 552
[27/May/2021 06:22:29] "GET / HTTP/1.1" 200 552
[27/May/2021 06:22:29] "GET / HTTP/1.1" 200 536
[27/May/2021 08:23:48] "GET / HTTP/1.1" 200 536
[31/May/2021 02:08:47] "GET / HTTP/1.1" 200 536
[31/May/2021 02:08:48] "GET / HTTP/1.1" 200 536
[31/May/2021 02:08:48] "GET / HTTP/1.1" 200 536
[31/May/2021 02:08:49] "GET / HTTP/1.1" 200 536
[31/May/2021 02:08:50] "GET /topics/ HTTP/1.1" 200 614
[31/May/2021 02:08:51] "GET /topics/1/ HTTP/1.1" 200 457
